gisco_id,lau_name,longitude,latitude
MK_MK00101,Велес,21.775316395649835,41.71366775835508
MK_MK00102,Градско,21.94055685863018,41.57735806213878
MK_MK00103,Демир Капија,22.238872823656216,41.41210164490196
MK_MK00104,Кавадарци,22.011771207485623,41.433809895035566
MK_MK00105,Лозово,21.897765397953197,41.77667675192919
MK_MK00106,Неготино,22.092573324481375,41.48408175839558
MK_MK00107,Росоман,21.94334360359838,41.51740624332203
MK_MK00108,Свети Николе,21.942627271192322,41.864685310039505
MK_MK00109,Чашка,21.66748433208869,41.64927116786957
MK_MK00201,Берово,22.84278497204419,41.70633062813325
MK_MK00202,Виница,22.50889832965012,41.88335068062995
MK_MK00203,Делчево,22.774732694727938,41.965912505295506
MK_MK00204,Зрновци,22.44025397192083,41.8540073940546
MK_MK00205,Карбинци,22.226602380987217,41.80375490088672
MK_MK00206,Кочани,22.412227378230636,41.915841511476586
MK_MK00207,Македонска Каменица,22.585897000696917,42.024324742911794
MK_MK00208,Пехчево,22.88224131273801,41.76343425551672
MK_MK00209,Пробиштип,22.185731703965114,41.99632446084794
MK_MK00210,Чешиново - Облешево,22.314007723672496,41.88286920979449
MK_MK00211,Штип,22.198653397731196,41.744136446986154
MK_MK00301,Вевчани,20.600068909002538,41.237703905081716
MK_MK00303,Дебар,20.524526259719917,41.5240625499214
MK_MK00304,Дебрца,20.765306667281152,41.23981184871601
MK_MK00307,Кичево,20.9594399515946,41.51969346644865
MK_MK00308,Македонски Брод,21.20857791156928,41.51295135165148
MK_MK00310,Охрид,20.80682545069313,41.11812461693673
MK_MK00311,Пласница,21.109024475824274,41.46763897494383
MK_MK00312,Струга,20.660698728863103,41.204961055672
MK_MK00313,Центар Жупа,20.567467439152793,41.4723844614355
MK_MK00401,Богданци,22.575404917850676,41.19337064182016
MK_MK00402,Босилово,22.753513169915347,41.441563890971615
MK_MK00403,Валандово,22.540356734112677,41.31586978255638
MK_MK00404,Василево,22.653706727671377,41.48513488431083
MK_MK00405,Гевгелија,22.49739367728685,41.15505869487719
MK_MK00406,Дојран,22.705428399261955,41.22421870610546
MK_MK00407,Конче,22.407711751758185,41.50968718003953
MK_MK00408,Ново Село,22.86311455593043,41.40572391454679
MK_MK00409,Радовиш,22.473157254687564,41.63198466511748
MK_MK00410,Струмица,22.65848480893667,41.43313211233528
MK_MK00501,Битола,21.330572550149252,41.03125619475149
MK_MK00502,Демир Хисар,21.20057555635474,41.22957228741628
MK_MK00503,Долнени,21.36568786853783,41.4797932825189
MK_MK00504,Кривогаштани,21.344819275579585,41.31921930860686
MK_MK00505,Крушево,21.26686179046667,41.36279995703585
MK_MK00506,Могила,21.395209615604568,41.15319570898434
MK_MK00507,Новаци,21.47581729800656,41.02857595461955
MK_MK00508,Прилеп,21.55218208157963,41.34429837479481
MK_MK00509,Ресен,21.01465838179158,41.08072566984543
MK_MK00601,Боговиње,20.92368922849876,41.93478232432922
MK_MK00602,Брвеница,21.00288395287924,41.92829217793108
MK_MK00603,Врапчиште,20.89235539033004,41.875200652229914
MK_MK00604,Гостивар,20.91807438985044,41.80111529717243
MK_MK00605,Желино,21.065029852882255,41.980977015812805
MK_MK00606,Јегуновце,21.09688630429026,42.05942005878768
MK_MK00607,Маврово и Ростуше,20.611619436905965,41.61473774732832
MK_MK00608,Теарце,21.05910139266587,42.083051127380585
MK_MK00609,Тетово,20.96777287117979,42.006703008662285
MK_MK00701,Кратово,22.173738673084596,42.07894527124607
MK_MK00702,Крива Паланка,22.32909157634425,42.20039827620603
MK_MK00703,Куманово,21.719660059917473,42.132784047060575
MK_MK00704,Липково,21.618181828523593,42.15389879559116
MK_MK00705,Ранковце,22.14780283598294,42.17345978424027
MK_MK00706,Старо Нагоричане,21.834043053238286,42.19016020134659
MK_MK00801,Аеродром,21.462894996777205,41.981356728151255
MK_MK00802,Арачиново,21.564385965988947,42.02760674149658
MK_MK00803,Бутел,21.434716851135004,42.0320093952717
MK_MK00804,Гази Баба,21.47631480323535,42.007431999601586
MK_MK00805,Ѓорче Петров,21.357233053617108,42.01096848695118
MK_MK00806,Зелениково,21.60166124940619,41.87866036174141
MK_MK00807,Илинден,21.58313396146302,41.99342615074167
MK_MK00808,Карпош,21.412171884796148,42.002733177698374
MK_MK00809,Кисела Вода,21.463980884884077,41.96910817548288
MK_MK00810,Петровец,21.634557812381427,41.93640214016213
MK_MK00811,Сарај,21.31380434984987,42.000678261882484
MK_MK00812,Сопиште,21.42044849663176,41.95302703736496
MK_MK00813,Студеничани,21.53021283755661,41.92423843530382
MK_MK00814,Центар,21.427356731638962,41.99669675759336
MK_MK00815,Чаир,21.43991516958824,42.01159781893484
MK_MK00816,Чучер - Сандево,21.422124674790258,42.05946503401799
MK_MK00817,Шуто Оризари,21.42487690616769,42.037652143133144
